beacon_id,zone_name,zone_status,zone_id,station_id,clock,sub_station_id,direction,height_inches,pole_type,power_feed,mount_location,power_source,atd_location_id,created_date,created_by,modified_date,modified_by,am_start,am_end,pm_start,pm_end,pm_start_2,pm_end_2,location_name,location,latitude,longitude,unit_address,Source DB ID
7105-140-01,ORTEGA,Active,7105,140,FALSE,1,WB,85,2_IN,OH,,AC,LOC17-009430,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,5219 BLK LEDESMA RD,"(30.27104648, -97.68335068)",30.27104648,-97.68335068,,
7203-107-03,WINN,Active,7203,107,FALSE,3,,,,,,AC,LOC17-009235,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,3200 BLK SUSQUEHANNA LN,"(30.31471704, -97.66629464)",30.31471704,-97.66629464,,
7301-175-01,BECKER,Active,7301,175,FALSE,1,WB,94.5,4_IN,OH,,AC,LOC17-009655,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,800 BLK W ANNIE ST,"(30.24842024, -97.75871383)",30.24842024,-97.75871383,,
7504-275-01,CEDAR CREEK,Active,7504,275,FALSE,1,SB,103,2_IN,OH,,AC,LOC17-009675,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066500,1492073100,1492094100,1492101900,,,BLK,"(30.26976908, -97.80355312)",30.26976908,-97.80355312,,
7303-286-00,ST ELMO,Active,7303,286,TRUE,0,EB,86.5,,,,AC,LOC17-008395,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492092000,1492097400,,,713 BLK W ST ELMO RD,"(30.22223834, -97.77548395)",30.22223834,-97.77548395,,
7417-049-02,"WOOTEN, REEDEMER",Active,7417,49,FALSE,2,NB,85,4_IN,UG,,AC,LOC17-009735,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492072200,1492093800,1492098300,,,7900 BLK LAZY LN,"(30.35229493, -97.71936856)",30.35229493,-97.71936856,,
7115-279-01,CAMPBELL,Active,7115,279,FALSE,1,WB,,,,SP,,LOC17-010165,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,2700 BLK E MARTIN LUTHER KING JR BLVD,"(30.28122024, -97.71260114)",30.28122024,-97.71260114,,
7105-140-03,ORTEGA,Active,7105,140,FALSE,3,WB,,,,,,LOC17-010250,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,BLK,"(30.26884246, -97.68322224)",30.26884246,-97.68322224,,
7205-092-00,PREMIER AT LANIER,Active,7205,92,TRUE,0,WB,106,4_IN,OH,,AC,LOC17-009250,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492074000,1492085700,1492102800,,,1000 BLK FAIRFIELD DR,"(30.35866911, -97.70791429)",30.35866911,-97.70791429,,
7518-248-00,ODOM,Active,7518,248,TRUE,0,EB,105,2_IN,UG,,AC,LOC17-007980,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492092000,1492097400,,,900 BLK TURTLE CREEK BLVD,"(30.20542847, -97.79026121)",30.20542847,-97.79026121,,
7226-270-02,HARRIS,Active,7226,270,FALSE,2,SB,82,4_IN,OH,,AC,LOC17-009935,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,6208 BLK BERKMAN DR,"(30.31638345, -97.69126533)",30.31638345,-97.69126533,,
